frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
297,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
298,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
299,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
300,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
301,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
302,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
303,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
304,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
305,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
306,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
307,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
308,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
309,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
310,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
311,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
312,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
313,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
314,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
315,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
316,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
317,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
318,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
319,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
320,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
321,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
322,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
323,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
324,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
325,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
326,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
327,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
328,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
329,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
330,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
331,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
