pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
FOUNTAIN_3+,0.63,v5_confident,True,False,True,180,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,181,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,182,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,183,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,184,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,185,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,186,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,187,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,188,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,189,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,190,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,191,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,192,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
CASCADE_3+,0.63,v5_confident,True,False,True,193,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
