frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
446,5,0,0,5,0.538,CASCADE_3+,0.538,0
447,5,0,0,5,0.538,CASCADE_3+,0.538,0
448,5,0,0,5,0.538,CASCADE_3+,0.538,0
449,5,0,0,5,0.538,CASCADE_3+,0.538,0
450,5,0,0,5,0.538,CASCADE_3+,0.538,0
451,5,0,0,5,0.538,CASCADE_3+,0.538,0
452,5,0,0,5,0.538,CASCADE_3+,0.538,0
453,5,0,0,5,0.538,CASCADE_3+,0.538,0
454,5,0,0,5,0.538,CASCADE_3+,0.538,0
455,5,0,0,5,0.538,CASCADE_3+,0.538,0
456,5,0,0,5,0.538,CASCADE_3+,0.538,0
457,5,0,0,5,0.538,CASCADE_3+,0.538,0
458,5,0,0,5,0.538,CASCADE_3+,0.538,0
459,5,0,0,5,0.538,CASCADE_3+,0.538,0
460,5,0,0,5,0.538,CASCADE_3+,0.538,0
461,5,0,0,5,0.538,CASCADE_3+,0.538,0
462,5,0,0,5,0.538,CASCADE_3+,0.538,0
463,5,0,0,5,0.538,CASCADE_3+,0.538,0
464,5,0,0,5,0.538,CASCADE_3+,0.538,0
