frame,L40v2,R40v2,h12_pattern,h12_conf
734,1,1,FOUNTAIN_3+,0.751
735,1,1,FOUNTAIN_3+,0.751
736,1,1,FOUNTAIN_3+,0.751
737,1,1,FOUNTAIN_3+,0.751
738,1,1,FOUNTAIN_3+,0.751
739,1,1,FOUNTAIN_3+,0.751
740,1,1,FOUNTAIN_3+,0.751
741,1,1,FOUNTAIN_3+,0.751
742,1,1,FOUNTAIN_3+,0.751
743,1,1,FOUNTAIN_3+,0.751
744,1,1,FOUNTAIN_3+,0.751
745,1,1,FOUNTAIN_3+,0.751
746,1,1,FOUNTAIN_3+,0.751
747,1,1,FOUNTAIN_3+,0.751
748,1,1,FOUNTAIN_3+,0.751
749,1,1,FOUNTAIN_3+,0.751
750,1,1,FOUNTAIN_3+,0.751
751,1,1,FOUNTAIN_3+,0.751
752,1,1,FOUNTAIN_3+,0.751
753,1,1,FOUNTAIN_3+,0.751
754,1,1,FOUNTAIN_3+,0.751
755,1,1,FOUNTAIN_3+,0.751
756,1,1,FOUNTAIN_3+,0.751
759,1,0,FOUNTAIN_3+,0.751
760,1,0,FOUNTAIN_3+,0.751
761,1,0,FOUNTAIN_3+,0.751
762,1,0,FOUNTAIN_3+,0.751
763,1,0,FOUNTAIN_3+,0.751
764,1,0,FOUNTAIN_3+,0.751
765,1,1,FOUNTAIN_3+,0.707
766,1,1,FOUNTAIN_3+,0.707
767,1,1,TWO_BALL,0.803
768,1,1,TWO_BALL,0.803
769,1,1,TWO_BALL,0.803
770,1,1,TWO_BALL,0.803
771,1,0,TWO_BALL,0.803
773,1,1,TWO_BALL,0.803
774,0,1,TWO_BALL,0.803
775,0,1,FOUNTAIN_3+,0.728
776,0,1,FOUNTAIN_3+,0.728
777,0,1,FOUNTAIN_3+,0.728
778,0,1,FOUNTAIN_3+,0.728
779,1,1,FOUNTAIN_3+,0.728
780,1,1,MIXED_3+,0.728
781,1,1,SINGLE_BALL,0.668
782,0,1,SINGLE_BALL,0.668
783,0,1,SINGLE_BALL,0.668
784,0,1,SINGLE_BALL,0.668
785,0,1,SINGLE_BALL,0.668
786,0,1,SINGLE_BALL,0.668
