frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
307,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
308,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
309,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
310,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
311,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
312,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
313,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
314,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
315,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
316,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
317,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
318,2,0,0,2,0.429,TWO_BALL,0.429,4,0,0,0.0,0.0
