frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
421,3,0,0,3,0.792,FOUNTAIN_3+,0.792
422,3,0,0,3,0.792,FOUNTAIN_3+,0.792
423,3,0,0,3,0.792,FOUNTAIN_3+,0.792
424,3,0,0,3,0.792,FOUNTAIN_3+,0.792
425,4,0,0,4,0.844,FOUNTAIN_3+,0.844
426,4,0,0,4,0.844,FOUNTAIN_3+,0.844
427,4,0,0,4,0.844,FOUNTAIN_3+,0.844
428,4,0,0,4,0.844,FOUNTAIN_3+,0.844
429,3,0,0,3,0.792,FOUNTAIN_3+,0.792
430,3,0,0,3,0.792,FOUNTAIN_3+,0.792
431,3,0,0,3,0.792,FOUNTAIN_3+,0.792
432,3,0,0,3,0.792,FOUNTAIN_3+,0.792
433,3,0,0,3,0.792,FOUNTAIN_3+,0.792
434,3,0,0,3,0.792,FOUNTAIN_3+,0.792
435,3,0,0,3,0.792,FOUNTAIN_3+,0.792
436,3,0,0,3,0.792,FOUNTAIN_3+,0.792
437,3,0,0,3,0.792,FOUNTAIN_3+,0.792
438,3,0,0,3,0.792,FOUNTAIN_3+,0.792
439,3,0,0,3,0.792,FOUNTAIN_3+,0.792
440,3,0,0,3,0.792,FOUNTAIN_3+,0.792
441,3,0,0,3,0.792,FOUNTAIN_3+,0.792
442,3,0,0,3,0.792,FOUNTAIN_3+,0.792
443,3,0,0,3,0.792,FOUNTAIN_3+,0.792
444,3,0,0,3,0.792,FOUNTAIN_3+,0.792
445,3,0,0,3,0.792,FOUNTAIN_3+,0.792
446,3,0,0,3,0.792,FOUNTAIN_3+,0.792
447,3,0,0,3,0.792,FOUNTAIN_3+,0.792
448,3,0,0,3,0.792,FOUNTAIN_3+,0.792
449,3,0,0,3,0.792,FOUNTAIN_3+,0.792
450,3,1,0,3,0.792,MIXED_3+,0.792
451,2,0,0,2,0.755,TWO_BALL,0.755
452,2,0,0,2,0.755,TWO_BALL,0.755
453,2,0,0,2,0.755,TWO_BALL,0.755
454,2,0,0,2,0.755,TWO_BALL,0.755
455,2,0,0,2,0.755,TWO_BALL,0.755
456,2,0,0,2,0.755,TWO_BALL,0.755
457,2,0,0,2,0.755,TWO_BALL,0.755
458,2,0,0,2,0.755,TWO_BALL,0.755
459,2,0,0,2,0.755,TWO_BALL,0.755
460,2,1,0,2,0.755,TWO_BALL_ONE_HAND,0.755
461,2,1,0,2,0.887,TWO_BALL_ONE_HAND,0.887
462,2,0,0,2,0.887,TWO_BALL,0.887
463,2,0,0,2,0.887,TWO_BALL,0.887
464,2,0,0,2,0.887,TWO_BALL,0.887
465,2,0,0,2,0.887,TWO_BALL,0.887
466,2,0,0,2,0.887,TWO_BALL,0.887
467,2,0,0,2,0.887,TWO_BALL,0.887
468,2,0,0,2,0.887,TWO_BALL,0.887
469,2,0,0,2,0.887,TWO_BALL,0.887
470,2,0,0,2,0.887,TWO_BALL,0.887
471,3,1,0,3,0.792,FOUNTAIN_3+,0.792
472,3,0,0,3,0.792,FOUNTAIN_3+,0.792
473,1,0,0,1,0.908,SINGLE_BALL,0.908
474,1,0,0,1,0.908,SINGLE_BALL,0.908
475,1,0,0,1,0.908,SINGLE_BALL,0.908
476,1,0,0,1,0.908,SINGLE_BALL,0.908
477,1,0,0,1,0.908,SINGLE_BALL,0.908
478,1,0,0,1,0.908,SINGLE_BALL,0.908
479,1,0,0,1,0.908,SINGLE_BALL,0.908
480,1,0,0,1,0.908,SINGLE_BALL,0.908
481,1,0,0,1,0.908,SINGLE_BALL,0.908
482,1,0,0,1,0.908,SINGLE_BALL,0.908
483,1,0,0,1,0.908,SINGLE_BALL,0.908
484,1,0,0,1,0.908,SINGLE_BALL,0.908
485,1,0,0,1,0.908,SINGLE_BALL,0.908
486,1,0,0,1,0.908,SINGLE_BALL,0.908
487,1,0,0,1,0.908,SINGLE_BALL,0.908
488,1,0,0,1,0.908,SINGLE_BALL,0.908
489,1,0,0,1,0.908,SINGLE_BALL,0.908
490,1,0,0,1,0.908,SINGLE_BALL,0.908
491,1,0,0,1,0.908,SINGLE_BALL,0.908
492,1,0,0,1,0.908,SINGLE_BALL,0.908
493,1,0,0,1,0.908,SINGLE_BALL,0.908
494,1,0,0,1,0.908,SINGLE_BALL,0.908
495,1,0,0,1,0.908,SINGLE_BALL,0.908
496,1,0,0,1,0.908,SINGLE_BALL,0.908
497,1,0,0,1,0.908,SINGLE_BALL,0.908
498,1,0,0,1,0.908,SINGLE_BALL,0.908
499,1,0,0,1,0.908,SINGLE_BALL,0.908
500,1,0,0,1,0.908,SINGLE_BALL,0.908
501,1,0,0,1,0.908,SINGLE_BALL,0.908
502,1,0,0,1,0.908,SINGLE_BALL,0.908
503,1,0,0,1,0.908,SINGLE_BALL,0.908
504,1,0,0,1,0.908,SINGLE_BALL,0.908
505,1,0,0,1,0.908,SINGLE_BALL,0.908
506,1,0,0,1,0.908,SINGLE_BALL,0.908
